question,response
আয়কর কি?,আয়কর হলো নির্দিষ্ট আইনের অধীন আরোপযোগ্য যেকোনো উৎস থেকে উদ্ভূত আয় বা পরিমানের উপর কর আরোপ করা
"ভ্যালু অ্যাডেড ট্যাক্স এবং সম্পূরক শুল্ক বিধিমালা, ২০১৬-এর সংক্ষিপ্ত নাম কী?","ভ্যালু অ্যাডেড ট্যাক্স এবং সম্পূরক শুল্ক বিধিমালা, ২০১৬, এর সংক্ষিপ্ত নাম হল 'মূল্য সংযোজন কর ও সম্পূরক শুল্ক বিধিমালা'"
"""করারোপিত লভ্যাংশ"" কি?",করারোপিত লভ্যাংশ হলো কর আরোপযোগ্য হওয়ার সময় লভ্যাংশের উপর কর পরিশোধ করা হয়।
বাংলাদেশে আয়কর রিটার্ন কী?,বাংলাদেশে আয়কর রিটার্ন হলো করদাতার নির্দিষ্ট আয়ের হিসাব ও প্রাপ্য করের পরিমাণ উল্লেখ করে নির্ধারিত সময়ে দাখিল করা একটি বাধ্যতামূলক নথি।
“আয়কর কর্মকর্তা” বলতে কী বোঝায়?,"আয়কর কর্মকর্তা হলেন কর আপিল ট্রাইব্যুনালের একজন কর্মকর্তা, যিনি কর আপিলের সমাধানে জড়িত থাকেন।"
"""পরিবার সম্পর্কিত ব্যক্তি"" বলতে কোন শতাংশ শেয়ারের মালিকানা বোঝানো হয়?",পরিবার সম্পর্কিত ব্যক্তি বলতে প্রথম প্রজন্মের সদস্য বা পরিবারের সদস্যকে বোঝায়।
মিউচুয়াল ফান্ড কী?,মিউচুয়াল ফান্ড হলো এক ধরনের বিনিয়োগ ফান্ড যার লক্ষ্য হলো স্বল্পমেয়াদী বিনিয়োগের জন্য অর্থ সংগ্রহ করা এবং সেই অর্থগুলো বিভিন্ন বিনিয়োগে বিনিয়োগ করা।
“আয়বর্ষ” এর সংজ্ঞা কী?,"আয়বর্ষ হলো সেই সময়কাল, যার মধ্যে কোনো ব্যবসায়িক বা আর্থিক কার্যক্রম সম্পাদিত হয় এবং সেই বছরের আর্থিক ফলাফল নির্ধারণ করা হয়।"
বাংলাদেশ ব্যাংকের প্রধান কাজ কী?,বাংলাদেশ ব্যাংকের প্রধান কাজ হলো দেশের অর্থনীতিতে স্থিতিশীলতা ও উন্নয়ন বজায় রাখা। এটি দেশের একমাত্র কেন্দ্রিয় ব্যাংক হিসেবে গুরুত্বপূর্ণ ভূমিকা পালন করে।
“আয়কর অ্যাপিলেট কমিশনার” বলতে কী বোঝায়?,"আয়কর অ্যাপিলেট কমিশনার হল আয়কর কমিশনারের একটি পদ, যা আয়কর অ্যাপিলেট কমিশনার হিসেবে দায়িত্ব পালন করে।"
“করযোগ্য আয়” বলতে কী বোঝায়?,"করযোগ্য আয় বলতে সেই আয় বোঝায় যা বৈদেশিক কর ক্রেডিটের অধীনে সমন্বয় অনুমোদনের সময় গণনা করা হয়। এতে চুক্তির অধীনে প্রাপ্ত লভ্যাংশের ক্ষেত্রে বাংলাদেশে করের বিপরীতে কোনো রেয়াত অনুমোদিত হলে বা প্রদেয় রেয়াতের পরিমাণ নির্ধারিত হলে, উপ-ধারা (১) অনুযায়ী সেই আয় বৃদ্ধিপ্রাপ্ত আয় হিসেবে বিবেচিত হয়।"
পোর্ট-ট্যাক্স রেবেট বা কর অব্যাহতি কত?,"পোর্ট-ট্যাক্স রেবেট বা কর অব্যাহতির পরিমাণ নির্দিষ্ট নীতি, আইন বা চুক্তির ওপর নির্ভর করে।"
"""বন্ডেড ওয়্যারহাউস"" এবং ""স্পেশাল বন্ডেড ওয়্যারহাউস"" কোন অধ্যায়ে উল্লেখিত?",বন্ডেড ওয়্যারহাউস এবং স্পেশাল বন্ডেড ওয়্যারহাউস কর আইন বা কাস্টমস অধ্যায়ে উল্লেখিত।
"""বোর্ড"" বলতে কোন অর্ডারের অধীনে গঠিত বোর্ডকে বোঝানো হয়?",বোর্ড বলতে 1972 সালের প্রেসিডেন্ট অর্ডার 76 অনুযায়ী গঠিত জাতীয় রাজস্ব বোর্ডকে বোঝানো হয়।
"আয়কর আইন, ২০২৩ দ্বারা কর হার নির্ধারণ কেমন?","আয়কর আইন, ২০২৩ দ্বারা কর হার নির্ধারণ কর কর্তৃপক্ষ দ্বারা নির্ধারণ করা হয়। "
"""মুসক আইন"" বলতে কোন আইনকে বোঝানো হয়?","মুসক আইন বলতে ধারা ১৩৭-এর অধীন রহিত মূল্য সংযোজন কর আইন, ১৯৯১-কে বোঝানো হয়।
"
আয়কর রিটার্ন জমা দেওয়ার শেষ সময় কবে?,আয়কর রিটার্ন জমা দেওয়ার শেষ সময় হলো ২৪ মাসের বেশি নয়।
ন্যাশনাল বোর্ড অব রেভিনিউ অর্ডার কোন সালের?,ন্যাশনাল বোর্ড অব রেভিনিউ অর্ডার ২০১২ সালের।
1984 থেকে 2023 পর্যন্ত “আয়বর্ষ” এর সংজ্ঞায় কী পরিবর্তন হয়েছে?,আয়বর্ষের সংজ্ঞায় 1984 থেকে 2023 পর্যন্ত কোনো পরিবর্তন হয়নি।
২০২৪-২৫ অর্থবছরের সংশোধিত বাজেটের তুলনায় ২০২৫-২৬ অর্থবছরের প্রস্তাবিত বাজেটে এনবিআর বহির্ভূত করের লক্ষ্যমাত্রা কত বৃদ্ধি পেয়েছে?,২০২৪-২৫ অর্থবছরের সংশোধিত বাজেটের তুলনায় ২০২৫-২৬ অর্থবছরের প্রস্তাবিত বাজেটে এনবিআর বহির্ভূত করের লক্ষ্যমাত্রা ১০০০ কোটি টাকা বৃদ্ধি পেয়েছে।
গত দুই দশকে বিদ্যুৎ খাতে বিনিয়োগ কীভাবে পরিবর্তিত হয়েছে?,"গত দুই দশকে বিদ্যুৎ খাতে বিনিয়োগ বাজারের প্রতিক্রিয়ার কারণে হ্রাস পেয়েছে, যদিও বিনিয়োগকারীদের জন্য বিভিন্ন প্রয়োজনীয় সুবিধা ও অধিকার রয়েছে।"
"""ভ্যালু অ্যাডেড ট্যাক্স আইন"" কোন সালের?",ভ্যালু অ্যাডেড ট্যাক্স আইন ২০১২ সালের।
গত পাঁচ বছরে ব্যাংক খাতে খেলাপি ঋণের হার কীভাবে পরিবর্তিত হয়েছে?,"গত পাঁচ বছরে ব্যাংক খাতে খেলাপি ঋণের হার ধীরে ধীরে হ্রাস পেয়েছে: ২০১৮-১৯ সালে ১০.৫%, ২০১৯-২০ সালে ৯.৫%, ২০২০-২১ সালে ৮.৫%, ২০২১-২২ সালে ৭.৫%, এবং ২০২২-২৩ সালে ৬.৫%।"
২০২৩-২৪ অর্থবছরের হিসাবের তুলনায় ২০২৪-২৫ অর্থবছরের সংশোধিত বাজেটে রাজস্ব আয় কত বৃদ্ধি পেয়েছে?,"২০২৪-২৫ অর্থবছরের সংশোধিত বাজেটে রাজস্ব আয় ২০২৩-২৪ অর্থবছরের হিসাবের তুলনায় ১২.৫% বৃদ্ধি পেয়েছে।
"
বাজেটে জুলাই গণঅভ্যুত্থান-পরবর্তী অর্থনীতির পুনরুদ্ধারের কথা উল্লেখ করা হয়েছে কেন?,বাজেটে জুলাই গণঅভ্যুত্থান-পরবর্তী অর্থনীতির পুনরুদ্ধারের কথা উল্লেখ করা হয়েছে কারণ সেই সময়ে বাংলাদেশের অর্থনীতি ব্যাঘাতমুখী ছিল।
জাতীয় সংসদ ভবনের নকশা কে করেছেন?,জাতীয় সংসদ ভবনের নকশা করেছেন লুই আই. খান।
বাংলাদেশে কতজন করদাতা রিটার্ন জমা দিয়েছে ২০২৩ সালে?,"বাংলাদেশে ২০২৩ সালে কতজন করদাতা রিটার্ন জমা দিয়েছে, তা নিয়ে নির্দিষ্ট তথ্য পাওয়া যায়নি।"
২০২৫-২৬ অর্থবছরের বাজেটে বিদ্যুৎ খাতে বরাদ্দের শতকরা পরিমাণ কত?,"২০২৫-২৬ অর্থবছরের বাজেটে বিদ্যুৎ খাতে বরাদ্দের শতকরা পরিমাণ ২৫%।
"
"""টার্নওভার ট্যাক্স চালানপত্র"" এর উপ-ধারা সংখ্যা কত?",টার্নওভার ট্যাক্স চালানপত্রের উপ-ধারা সংখ্যা হলো উপ-ধারা (২)।
২০২৫-২৬ অর্থবছরের বাজেটে বিদেশী ঋণের শতকরা পরিমাণ কত?,আমি সেই তথ্য জানি না 
বাংলাদেশের জিডিপি প্রবৃদ্ধি হার কত শতাংশ ছিল ২০২৪ সালে?,আমি সেই তথ্য জানি না যে বাংলাদেশের জিডিপি প্রবৃদ্ধি হার ২০২৪ সালে কত শতাংশ ছিল।
২০২৫-২৬ অর্থবছরের বাজেটে পেনশন খাতে বরাদ্দের শতকরা পরিমাণ কত?,২০২৫-২৬ অর্থবছরের বাজেটে পেনশন খাতে বরাদ্দের শতকরা পরিমাণ প্রদানের জন্য আমার কাছে পর্যাপ্ত পরিমাণ তথ্য নেই।
"""মুসক আইন"" এর ধারা নং কত?","মুসক আইনের ধারা নং হলো ১৩৭।
"
দেশে ক্ষুদ্র ও মাঝারি শিল্পের অবদান জিডিপির কত শতাংশ?,দেশে ক্ষুদ্র ও মাঝারি শিল্পের অবদান জিডিপির ২৫ শতাংশ।
রপ্তানি বৃদ্ধির জন্য কী ধরনের নীতিগত সহায়তা দেওয়া হয়?,"রপ্তানি বৃদ্ধির জন্য নীতিগত সহায়তা হিসেবে আমদানি ও রপ্তানি প্রচারণা, রপ্তানি বাণিজ্য উন্নয়ন এবং রপ্তানি প্রতিষ্ঠানগুলোর জন্য সহায়তা প্রদান করা হয়।
"
বাজেটে মূল্যস্ফীতি নিয়ন্ত্রণের জন্য কী নীতি গ্রহণ করা হয়েছে?,"উপকর কমিশনার তাহার নিকট প্রাপ্য তথ্য বা দলিলাদি অনুসারে বাজেটে মূল্যস্ফীতি নিয়ন্ত্রণের জন্য উপ, ধারা (১) এ উল্লিখিত সর্বাপেক্ষ নীতি গ্রহণ করা হয়েছে।"
আয়কর অধ্যাদেশে করদাতার পলিসি কী?,"করদাতার পলিসি হলো কর পরিশোধের সময় ও পদ্ধতি নির্বাচন করার প্রক্রিয়া, যা করদাতার স্বার্থ ও প্রয়োজনের উপর নির্ভর করে।"
বাজেটে পুঁজিবাজারের সংস্কারের জন্য কী টাস্কফোর্স গঠন করা হয়েছে?,বাজেটে পুঁজিবাজারের সংস্কারের জন্য কোনো টাস্কফোর্স গঠন করা হয়নি।
"""বিল অব এক্সপোর্ট"" দাখিলের নীতি কী?",বিল অব এক্সপোর্ট দাখিলের নীতি হলো বিনিয়োগকারী বিনিয়োগের প্রসঙ্গ এবং সুযোগ সম্পর্কে সঠিক ও স্পষ্ট তথ্য প্রদান করবে।
আয়কর নীতিতে কর রিবেট কাদের জন্য প্রযোজ্য?,"আয়কর নীতিতে কর রিবেট প্রযোজ্য সেই ব্যক্তি বা প্রতিষ্ঠানের জন্য, যারা তাদের হিসাব, দলিলাদি, ইলেক্ট্রনিক রেকর্ড এবং অন্যান্য প্রয়োজনীয় তথ্য পূর্ণাঙ্গভাবে প্রদান ও রেকর্ডে প্রবেশ করাতে সক্ষম।"
বাজেটে নির্বাচন ব্যবস্থার সংস্কারের জন্য কী কমিশন গঠন করা হয়েছে?,বাজেটে নির্বাচন ব্যবস্থার সংস্কারের জন্য কোম্পানি আইন সংশোধন কমিশন গঠন করা হয়েছে।
“করদাতা” এবং “করদায়ক” এর মধ্যে পার্থক্য কী?,"করদাতা হল সেই ব্যক্তি যার উপর কর আরোপিত হয়েছে বা যিনি কর প্রদান করেছেন, আর করদায়ক হল সেই ব্যক্তি যার উপর কর আরোপিত হয়নি বা যিনি কর প্রদান করেননি।"
২০২৫-২৬ অর্থবছরের প্রস্তাবিত বাজেটে বিদ্যুৎ খাতের বরাদ্দ স্থানীয় সরকার খাতের বরাদ্দের সাথে তুলনায় কত কম?,২০২৫-২৬ অর্থবছরের প্রস্তাবিত বাজেটে বিদ্যুৎ খাতের বরাদ্দ স্থানীয় সরকার খাতের বরাদ্দের তুলনায় ১০০০ কোটি টাকা কম।
“আয়কর কর্মকর্তা” এবং “আয়কর অ্যাপিলেট কমিশনার” এর মধ্যে পার্থক্য কী?,"আয়কর কর্মকর্তা এবং আয়কর অ্যাপিলেট কমিশনার হলো দুই ভিন্ন পদ যা আয়কর প্রতিষ্ঠানের কার্যক্রমে জড়িত।আয়কর কর্মকর্তা: আয়কর কর্মকর্তা হলো সেই কর্মকর্তা, যিনি আয়কর প্রয়োগ, প্রতিষ্ঠান কার্যক্রমে সহায়তা এবং সমস্যা সমাধানের দায়িত্ব পালন করেন।
 আয়কর অ্যাপিলেট কমিশনার: আয়কর অ্যাপিলেট কমিশনার হলো সেই কর্মকর্তা, যিনি আয়কর সংক্রান্ত সমস্যা সমাধান, প্রতিষ্ঠান কার্যক্রমে সহায়তা এবং কর্মকর্তাদের মধ্যে মধ্যস্থতার দায়িত্ব পালন করেন।"
২০২৫-২৬ অর্থবছরের প্রস্তাবিত বাজেটে শিক্ষা খাতের বরাদ্দ কৃষি খাতের বরাদ্দের সাথে তুলনায় কত বেশি?,"২০২৫-২৬ অর্থবছরের প্রস্তাবিত বাজেটে শিক্ষা খাতের বরাদ্দ কৃষি খাতের বরাদ্দের সাথে তুলনায় কত বেশি, তা জানা নেই।"
ADP এর পূর্ণরূপ কী?,ADP এর পূর্ণরূপ হলো Annual Development Programme।
মূসক এর পূর্ণরূপ কী?,মূসক এর পূর্ণরূপ হলো মূল্য সংযোজন কর।
অধ্যাদেশের প্রকাশক কে?,অধ্যাদেশের প্রকাশক হলো বাংলাদেশ গেজেট।